ID_REF	VALUE
1007_s_at	9.295541953
1053_at	7.377000514
117_at	4.898520904
121_at	7.370098241
1255_g_at	2.938016687
1294_at	7.847401705
1316_at	4.373122931
1320_at	4.640951688
1405_i_at	8.502067483
1431_at	3.194586782
1438_at	7.260828727
1487_at	7.840715831
1494_f_at	5.259801441
1552256_a_at	7.262380116
1552257_a_at	8.720776675
1552258_at	3.876686635
1552261_at	3.829132757
1552263_at	6.351463278
1552264_a_at	7.555902126
1552266_at	3.748438303
1552269_at	3.47799646
1552271_at	5.727660527
1552272_a_at	5.309120136
1552274_at	7.051653862
1552275_s_at	6.369086902
1552276_a_at	5.177000679
1552277_a_at	7.252519279
1552278_a_at	4.365303747
1552279_a_at	5.947845112
1552280_at	4.737950849
1552281_at	6.774991037
1552283_s_at	3.745807689
1552286_at	4.820428311
1552287_s_at	6.133341858
1552288_at	3.772330408
1552289_a_at	4.045134839
1552291_at	6.264458132
1552293_at	4.071095137
1552295_a_at	6.307446272
1552296_at	4.209207151
1552299_at	4.237722121
1552301_a_at	4.25749803
1552302_at	4.263951914
1552303_a_at	5.410345414
1552304_at	3.789186767
1552306_at	3.758448161
1552307_a_at	4.957454344
1552309_a_at	7.495090603
1552310_at	6.50075229
1552311_a_at	6.773785947
1552312_a_at	6.304862951
1552314_a_at	3.829132757
1552315_at	6.603844499
1552316_a_at	7.102071808
1552318_at	6.788584083
1552319_a_at	3.928057531
1552320_a_at	3.076998191
1552321_a_at	2.906736025
1552322_at	2.859398915
1552323_s_at	3.742883707
1552325_at	2.960995496
1552326_a_at	4.019475972
1552327_at	3.247738787
1552329_at	4.760634779
1552330_at	5.647585391
1552332_at	6.384344161
1552334_at	4.670323694
1552335_at	4.923753257
1552337_s_at	4.129381419
1552338_at	3.974159578
1552340_at	4.880110449
1552343_s_at	4.202344814
1552344_s_at	6.162687419
1552347_at	6.817240707
1552348_at	5.782277103
1552349_a_at	4.519368449
1552354_at	4.289609514
1552355_s_at	4.505575222
1552359_at	2.762163069
1552360_a_at	5.739309371
1552362_a_at	5.544575483
1552364_s_at	4.852475393
1552365_at	5.662158088
1552367_a_at	5.073622289
1552368_at	3.140682389
1552370_at	7.501330655
1552372_at	2.628234658
1552373_s_at	2.570400532
1552375_at	3.462165166
1552377_s_at	5.960502552
1552378_s_at	6.108579833
1552379_at	2.655565478
1552381_at	3.012883518
1552383_at	6.882138425
1552384_a_at	4.369064767
1552386_at	5.828567362
1552388_at	5.959765784
1552389_at	3.46330286
1552390_a_at	3.397222517
1552391_at	3.216842133
1552393_at	2.929156633
1552394_a_at	3.11321207
1552395_at	6.428322787
1552396_at	3.793082764
1552398_a_at	4.161298983
1552399_a_at	3.329758466
1552400_a_at	3.870418199
1552401_a_at	3.137122506
1552402_at	3.88181747
1552405_at	3.830896393
1552408_at	3.086300969
1552409_a_at	5.476307628
1552410_at	3.806219065
1552411_at	5.219023259
1552412_a_at	3.428587356
1552414_at	3.253575374
1552415_a_at	3.627719421
1552417_a_at	6.105366456
1552418_at	5.061111786
1552419_s_at	5.047116733
1552421_a_at	3.954035705
1552422_at	4.723861269
1552423_at	4.669881957
1552424_at	2.972732004
1552425_a_at	4.071095137
1552426_a_at	8.182509105
1552427_at	3.506656153
1552430_at	2.863173059
1552432_at	4.921526389
1552436_a_at	4.921309007
1552438_a_at	2.965144165
1552439_s_at	2.853903756
1552440_at	3.654426463
1552445_a_at	3.123249764
1552448_a_at	3.333473148
1552449_a_at	3.112599109
1552450_a_at	4.981819057
1552452_at	3.315555951
1552453_a_at	3.585068297
1552455_at	4.646579465
1552456_a_at	3.679852565
1552457_a_at	3.180062805
1552458_at	3.070258289
1552459_a_at	3.329453497
1552461_at	2.926941303
1552463_at	2.966293956
1552466_x_at	2.655892794
1552467_at	6.132794015
1552468_a_at	3.823011476
1552470_a_at	4.270897482
1552472_a_at	6.201925747
1552473_at	7.721905244
1552474_a_at	7.052358885
1552476_s_at	5.955254135
1552477_a_at	7.318927068
1552478_a_at	5.062350321
1552480_s_at	3.041997852
1552481_s_at	3.98190002
1552482_at	3.624983653
1552484_at	5.991696412
1552485_at	5.168328396
1552486_s_at	6.420278312
1552487_a_at	2.767357176
1552489_s_at	2.712770876
1552490_at	3.273096982
1552491_at	4.182611591
1552493_s_at	3.465700429
1552494_at	3.979783496
1552496_a_at	4.414946978
1552497_a_at	6.862691685
1552498_at	3.630196537
1552499_a_at	3.485976772
1552501_a_at	5.209355598
1552502_s_at	6.546298003
1552503_at	4.798731203
1552504_a_at	5.775888249
1552506_at	3.560418345
1552507_at	4.020926516
1552508_at	4.081978627
1552509_a_at	3.129908113
1552510_at	7.479058585
1552511_a_at	3.504238774
1552514_at	2.905110739
1552515_at	3.2962916
1552516_a_at	5.550916324
1552518_s_at	3.743908
1552519_at	6.919772695
1552520_at	3.264796693
1552521_a_at	2.922367148
1552522_at	2.712770876
1552523_a_at	3.465025718
1552524_at	5.798581562
1552526_at	3.86056261
1552528_at	6.137856341
1552531_a_at	3.864017667
1552532_a_at	2.982508164
1552535_at	4.620875729
1552536_at	4.038987369
1552538_a_at	3.140682389
1552540_s_at	4.690781822
1552541_at	5.894447862
1552542_s_at	4.289594494
1552543_a_at	3.565123846
1552544_at	3.120369795
1552546_a_at	3.294791404
1552548_at	3.381271989
1552549_a_at	5.167526936
1552552_s_at	3.519111008
1552553_a_at	4.802776265
1552554_a_at	3.692733131
1552555_at	5.351865939
1552557_a_at	3.156594849
1552558_a_at	5.811912697
1552559_a_at	5.17571944
1552562_at	3.805216981
1552563_a_at	3.269920332
1552564_at	3.399045309
1552566_at	3.805039215
1552568_at	3.746364302
1552569_a_at	3.684161227
1552570_at	3.751085072
1552572_a_at	2.661395476
1552573_s_at	3.512975069
1552575_a_at	4.537976944
1552576_at	4.218576354
1552578_a_at	2.932333407
1552579_a_at	3.427395013
1552580_at	4.843066548
1552582_at	3.175968631
1552583_s_at	5.197171913
1552584_at	7.277280693
1552585_s_at	3.012702739
1552586_at	4.220030301
1552587_at	3.000708117
1552588_a_at	3.076491115
1552590_a_at	2.980686023
1552592_at	2.807587007
1552594_at	5.129819923
1552596_at	5.81785535
1552598_at	4.084395827
1552599_at	2.870229468
1552602_at	4.41348789
1552604_at	3.635376342
1552605_s_at	3.099669877
1552607_at	4.120810566
1552608_at	3.788533506
1552609_s_at	4.043445125
1552610_a_at	9.21227373
1552611_a_at	7.475723296
1552612_at	8.801825933
1552613_s_at	8.513901036
1552615_at	7.18623753
1552616_a_at	4.40217669
1552617_a_at	8.040580148
1552618_at	6.786535086
1552619_a_at	6.442085111
1552620_at	6.701414955
1552621_at	6.458440157
1552622_s_at	5.152118804
1552623_at	5.98131519
1552625_a_at	6.388001514
1552626_a_at	6.26908037
1552627_a_at	6.042292458
1552628_a_at	8.546578771
1552629_a_at	3.163790564
1552630_a_at	4.346967706
1552631_a_at	5.279926722
1552632_a_at	4.049638004
1552633_at	4.745646267
1552634_a_at	5.721746566
1552637_at	3.106437187
1552639_at	5.478981616
1552641_s_at	5.931358999
1552643_at	4.99056851
1552644_a_at	3.884496681
1552646_at	4.598643764
1552648_a_at	5.986847467
1552649_a_at	3.77977434
1552651_a_at	5.719481944
1552652_at	6.22695169
1552656_s_at	5.64613576
1552657_a_at	4.782052242
1552658_a_at	3.197147501
1552660_a_at	6.5001057
1552661_at	2.649856934
1552662_a_at	3.803170662
1552663_a_at	6.177655841
1552664_at	5.684865222
1552665_at	4.574198423
1552666_a_at	3.091935996
1552667_a_at	5.847136944
1552669_at	3.459164759
1552670_a_at	4.860670542
1552671_a_at	4.554102708
1552672_a_at	4.384417808
1552673_at	4.230614238
1552674_at	2.692583453
1552675_at	2.698522472
1552676_at	4.380309564
1552677_a_at	4.971509942
1552678_a_at	5.230265766
1552680_a_at	4.042080719
1552682_a_at	4.34913202
1552684_a_at	4.408498487
1552685_a_at	3.817121826
1552686_at	4.226229703
1552687_a_at	3.452559681
1552689_at	4.999370538
1552690_a_at	4.208719039
1552691_at	3.132312724
1552693_at	2.751996006
1552694_at	3.453955612
1552695_a_at	4.931871386
1552696_at	4.256065522
1552698_at	5.050038988
1552701_a_at	9.747572771
1552703_s_at	9.109152589
1552705_at	3.134873193
1552708_a_at	2.939484467
1552711_a_at	6.599991547
1552712_a_at	5.173887786
1552713_a_at	3.196443886
1552714_at	2.758735285
1552715_a_at	3.148485107
1552716_at	4.514211732
1552717_s_at	4.027760497
1552718_at	3.901151181
1552719_at	4.101913441
1552721_a_at	2.905193422
1552722_at	2.721540065
1552724_at	4.70230347
1552725_s_at	3.865966828
1552726_at	3.599181088
1552727_s_at	3.271252366
1552729_at	4.919973033
1552730_at	3.865079439
1552731_at	3.044957639
1552732_at	2.744230652
1552733_at	5.127114211
1552734_at	3.157645484
1552735_at	3.484853785
1552736_a_at	3.078674738
1552737_s_at	4.508309704
1552738_a_at	3.730999237
1552739_s_at	5.223579242
1552740_at	3.587301615
1552742_at	3.311473071
1552743_at	3.13546651
1552745_at	3.168208397
1552747_a_at	2.770986727
1552749_a_at	7.071767511
1552750_at	2.77929832
1552751_a_at	4.864824379
1552752_a_at	3.210560484
1552754_a_at	3.149388801
1552755_at	4.033656836
1552757_s_at	3.224329192
1552758_at	3.088874117
1552760_at	3.660189706
1552761_at	5.36522646
1552763_at	2.644600418
1552765_x_at	2.935061666
1552766_at	3.282370982
1552767_a_at	5.065079449
1552768_at	5.303358287
1552769_at	3.673431345
1552770_s_at	3.914121622
1552771_a_at	3.263312195
